reference;email;live_on;disbursement_frequency;minimum_monthly_fee
wintheiser_bernhard;info@wintheiser-bernhard.com;2022-10-07;DAILY;15.0
christiansen_o'keefe;info@christiansen-o'keefe.com;2022-12-01;DAILY;15.0
vandervort_kiehn;info@vandervort-kiehn.com;2022-10-09;WEEKLY;15.0
lehner_group;info@lehner-group.com;2023-01-06;DAILY;15.0
jacobson_krajcik;info@jacobson-krajcik.com;2022-12-20;DAILY;15.0
kertzmann_llc;info@kertzmann-llc.com;2022-10-26;DAILY;30.0
feest_llc;info@feest-llc.com;2022-10-11;WEEKLY;30.0
corkery_gerhold;info@corkery-gerhold.com;2022-11-14;WEEKLY;0.0
barton_schroeder_and_weimann;info@barton-schroeder-and-weimann.com;2022-12-19;WEEKLY;30.0
feeney_schinner_and_wilkinson;info@feeney-schinner-and-wilkinson.com;2022-12-23;WEEKLY;15.0
stokes_nikolaus;info@stokes-nikolaus.com;2022-09-20;DAILY;15.0
little_farrell;info@little-farrell.com;2022-11-03;WEEKLY;15.0
gleichner_bechtelar_and_gutmann;info@gleichner-bechtelar-and-gutmann.com;2023-01-21;DAILY;30.0
schinner_bechtelar_and_kris;info@schinner-bechtelar-and-kris.com;2022-12-18;DAILY;0.0
roob_davis;info@roob-davis.com;2023-01-03;WEEKLY;0.0
leannon_king;info@leannon-king.com;2022-10-26;WEEKLY;30.0
funk_ortiz_and_mckenzie;info@funk-ortiz-and-mckenzie.com;2022-12-28;WEEKLY;30.0
koss_grimes;info@koss-grimes.com;2022-09-21;DAILY;15.0
herman_llc;info@herman-llc.com;2022-09-07;WEEKLY;0.0
rempel_schinner_and_o'hara;info@rempel-schinner-and-o'hara.com;2022-12-04;DAILY;0.0
turcotte_and_sons;info@turcotte-and-sons.com;2022-09-20;DAILY;0.0
heaney_o'conner_and_gislason;info@heaney-o'conner-and-gislason.com;2023-01-21;WEEKLY;0.0
collier_mclaughlin_and_flatley;info@collier-mclaughlin-and-flatley.com;2022-09-11;DAILY;0.0
auer_inc;info@auer-inc.com;2022-11-06;DAILY;30.0
boyle_boehm_and_schulist;info@boyle-boehm-and-schulist.com;2022-09-09;WEEKLY;0.0
bode_group;info@bode-group.com;2022-10-11;DAILY;0.0
mohr_inc;info@mohr-inc.com;2022-10-16;WEEKLY;30.0
o'conner_purdy_and_stamm;info@o'conner-purdy-and-stamm.com;2023-01-19;DAILY;15.0
nader_kuhic_and_runolfsson;info@nader-kuhic-and-runolfsson.com;2022-09-23;WEEKLY;15.0
o'connell_mraz;info@o'connell-mraz.com;2022-09-29;WEEKLY;15.0
spinka_group;info@spinka-group.com;2023-01-17;WEEKLY;0.0
koss_hills;info@koss-hills.com;2023-01-17;DAILY;0.0
stanton_lang;info@stanton-lang.com;2023-01-16;WEEKLY;30.0
daugherty_kassulke_and_smitham;info@daugherty-kassulke-and-smitham.com;2022-12-24;DAILY;15.0
wiegand_ankunding_and_friesen;info@wiegand-ankunding-and-friesen.com;2023-01-16;WEEKLY;0.0
murazik_von_and_beier;info@murazik-von-and-beier.com;2022-09-04;DAILY;0.0
boyer_inc;info@boyer-inc.com;2022-09-20;WEEKLY;30.0
beahan_group;info@beahan-group.com;2022-10-21;DAILY;30.0
hammes_labadie;info@hammes-labadie.com;2023-01-13;DAILY;15.0
friesen_heaney_and_sauer;info@friesen-heaney-and-sauer.com;2022-11-17;DAILY;30.0
bins_kiehn;info@bins-kiehn.com;2022-11-18;DAILY;30.0
stracke_llc;info@stracke-llc.com;2022-10-07;DAILY;15.0
schuppe_kunde_and_hahn;info@schuppe-kunde-and-hahn.com;2022-09-30;WEEKLY;30.0
schaden_and_sons;info@schaden-and-sons.com;2022-10-14;WEEKLY;0.0
gottlieb_windler;info@gottlieb-windler.com;2022-09-09;DAILY;15.0
schimmel_schuster;info@schimmel-schuster.com;2022-10-26;DAILY;0.0
thompson_llc;info@thompson-llc.com;2022-11-05;WEEKLY;15.0
swaniawski_zboncak;info@swaniawski-zboncak.com;2022-10-14;WEEKLY;0.0
reilly_hoeger_and_marvin;info@reilly-hoeger-and-marvin.com;2022-12-21;DAILY;0.0
osinski_johnston_and_cole;info@osinski-johnston-and-cole.com;2023-01-22;WEEKLY;15.0
